inf,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1,1,1, inf, inf,1, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf,1,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf,1, inf,1,1,1,1, inf, inf, inf,1, inf, inf, inf, inf, inf, inf,1,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf,1,1, inf, inf, inf,1,1, inf, inf,1, inf, inf, inf, inf, inf, inf,1,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf,1, inf, inf,1, inf, inf, inf,1,1, inf, inf, inf, inf, inf, inf,1,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf,1, inf,1, inf,1, inf, inf,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf,1,1, inf,1, inf,1,1, inf,1,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf,1, inf, inf,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf,1, inf, inf, inf,1,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf,1,1, inf, inf, inf, inf,1, inf, inf, inf,1, inf, inf, inf, inf, inf, inf, inf,1, inf, inf, inf, inf, inf,1, inf
inf, inf, inf,1,1,1, inf,1, inf,1,1, inf,1, inf, inf, inf, inf,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf,1, inf,1, inf,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1, inf, inf, inf, inf, inf,1, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1, inf, inf, inf, inf, inf,1,1, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1, inf, inf, inf, inf, inf,1,1,1, inf, inf, inf, inf,1, inf,1,1,1, inf, inf,1
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1, inf,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1, inf,1,1,1,1, inf, inf,1, inf, inf, inf,1,1,1, inf, inf,1, inf,1
1,1, inf,1,1,1, inf, inf, inf, inf, inf, inf, inf, inf, inf,1, inf, inf, inf,1,1,1,1,1, inf, inf, inf, inf, inf, inf, inf
inf,1,1,1,1,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1,1, inf,1,1,1, inf, inf, inf, inf, inf, inf, inf, inf
inf,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1,1, inf,1, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1,1,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf,1, inf, inf, inf, inf, inf, inf, inf, inf,1, inf, inf,1,1,1, inf,1,1, inf, inf, inf, inf, inf, inf, inf, inf, inf,1, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1, inf, inf,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1, inf,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1, inf, inf, inf, inf, inf,1, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1, inf,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf,1, inf,1, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
